,Review,Rating
360,inn,5
361,uw,5
362,stay,5
363,helpful,4
364,hotel,4
365,early,1
366,seattl,4
367,wa,1
368,thank,1
369,information,1
370,seattl,4
371,hotel,5
372,expensiv,4
373,stay,5
374,optiom,4
375,experienc,3
376,mak,4
377,management,2
378,plac,3
379,plaz,2
380,spec,4
381,dec,4
382,town,4
383,street,4
384,tot,1
385,futur,5
386,layup,5
387,dinn,4
388,stay,5
389,brochur,2
390,good,4
391,uphill,4
392,pick,5
393,weekend,2
394,shot,4
395,nt,3
396,wow,5
397,window,4
398,leav,5
399,arriv,4
400,recommended,5
401,book,5
402,trust,2
403,recommend,1
404,vacation,4
405,returning,3
406,advantag,5
407,dont,2
408,ne,5
409,tast,3
410,seattl,5
411,futur,4
412,w,2
413,money,2
414,workout,5
415,pool,3
416,comfortabl,2
417,creat,4
418,comfort,5
419,scen,4
420,plac,4
421,warm,5
422,hotel,4
423,meeting,1
424,w,2
425,tell,5
426,okay,4
427,money,3
428,impressiv,4
429,elsewh,3
430,stay,4
431,stay,4
432,vacation,1
433,stunned,3
434,seattl,5
435,max,4
436,max,5
437,market,2
438,room,5
439,stay,4
440,anymor,4
441,room,5
442,room,2
443,return,5
444,weekend,5
445,bett,2
446,itselfwill,5
447,yummy,5
448,towel,3
449,stay,5
450,walk,4
451,stay,4
452,stay,4
453,spendy,1
454,tim,5
455,staying,1
456,mildew,2
457,cooki,2
458,stay,3
459,room,4
460,cost,3
461,availabl,4
462,hotel,5
463,clas,2
464,parking,4
465,plac,5
466,seattl,5
467,friend,4
468,room,2
469,hotel,4
470,quiet,4
471,stay,4
472,best,3
473,tub,5
474,futur,5
475,away,2
476,airport,5
477,bett,2
478,willi,5
479,dall,1
480,broken,3
481,stayed,4
482,peril,1
483,refund,2
484,stay,4
485,bit,1
486,hotel,1
487,afternoon,3
488,bar,3
489,usag,3
490,experienc,4
491,stuff,4
492,charg,4
493,stay,5
494,roof,4
495,used,3
496,tast,3
497,hotel,4
498,coffe,5
499,rani,5
500,strip,4
501,stay,4
502,dump,1
503,addres,2
504,thank,5
505,located,4
506,street,3
507,friend,4
508,are,5
509,peril,1
510,differenc,1
511,mayb,5
512,pric,3
513,hotel,1
514,egg,2
515,ready,2
516,arriv,5
517,definitely,5
518,packag,4
519,tim,4
520,loved,5
521,best,5
522,crew,3
523,checking,1
524,stay,4
525,novotel,5
526,anybody,5
527,stay,4
528,recommended,5
529,food,4
530,city,5
531,serv,4
532,recocommend,5
533,pric,5
534,situation,1
535,restaurant,4
536,probl,4
537,room,2
538,stay,4
539,away,3
540,alik,5
541,cent,5
542,family,4
543,scor,1
544,hotel,4
545,valu,5
546,zon,2
547,probl,4
548,st,2
549,hotel,5
550,choic,4
551,futur,4
552,road,4
553,experienc,1
554,going,2
555,bett,1
556,night,2
557,property,3
558,hotel,3
559,loud,3
560,dall,5
561,visit,4
562,deal,4
563,dall,4
564,dall,4
565,soon,4
566,away,4
567,helpful,5
568,dall,5
569,stay,4
570,location,5
571,car,4
572,night,4
573,stay,4
574,tim,3
575,sur,4
576,heartbeat,4
577,stay,4
578,satisfaction,2
579,beach,4
580,brilliant,5
581,mand,5
582,cas,5
583,nic,4
584,city,4
585,holiday,5
586,cheap,2
587,addielondon,3
588,boston,5
589,boston,1
590,famili,3
591,worth,2
592,recommend,2
593,money,4
594,hotel,4
595,cost,1
596,hotel,3
597,staying,5
598,sur,5
599,recommend,5
600,serv,1
601,hotel,2
602,book,5
603,plaz,3
604,trail,4
605,concerened,1
606,harvard,3
607,tim,5
608,morning,5
609,checking,5
610,seat,4
611,lin,3
612,helpful,5
613,meal,5
614,choic,4
615,sur,5
616,cooki,4
617,stay,4
618,job,3
619,valu,5
620,plac,5
621,stay,5
622,definitely,4
623,futur,5
624,clas,5
625,dinn,3
626,hotel,5
627,motel,1
628,remaim,3
629,money,1
630,recommended,4
631,wait,4
632,boston,5
633,serv,1
634,superb,5
635,penny,5
636,spec,5
637,drink,5
638,rat,4
639,fairmont,5
640,room,4
641,st,1
642,comparison,5
643,level,5
644,closet,5
645,fairmont,5
646,meal,4
647,room,5
648,dinn,3
649,stay,4
650,trip,4
651,boston,4
652,qualificatiom,5
653,charm,5
654,print,4
655,question,4
656,boston,5
657,exception,5
658,fairmont,5
659,addres,2
660,stay,3
661,beat,5
662,warn,3
663,precisely,2
664,planning,4
665,room,3
666,stay,5
667,away,4
668,van,1
669,dall,3
670,anymor,1
671,dall,1
672,hotel,4
673,availabl,4
674,pric,1
675,spring,3
676,serv,1
677,weekend,2
678,happines,5
679,welcomed,5
680,pati,4
681,clas,5
682,mis,5
683,high,5
684,money,5
685,setting,5
686,hotel,1
687,street,2
688,hotel,1
689,treatment,4
690,room,4
691,beach,5
692,experiec,1
693,big,5
694,hotel,4
695,marseill,1
696,food,3
697,futur,2
698,com,1
699,rat,2
700,stay,1
701,adjustment,3
702,off,4
703,wanted,4
704,are,3
705,septemb,5
706,needed,5
707,job,4
708,view,4
709,reveng,1
710,morning,3
711,night,4
712,rat,5
713,view,5
714,bar,3
715,great,5
716,orle,1
717,advanc,4
718,orle,4
719,decemb,4
720,arnaud,4
721,bargain,5
722,plac,1
723,soon,2
724,friendly,3
725,tea,4
726,definitely,4
727,choic,2
728,dirt,5
729,quart,5
730,recommended,5
731,hotel,5
732,kinnard,5
733,reasonabl,5
734,careful,3
735,easy,5
736,sunbathing,5
737,spring,5
738,ye,4
739,plac,2
740,return,5
741,jj,5
742,serv,4
743,inncourtyard,3
744,chanc,1
745,travel,5
746,bett,2
747,visit,5
748,footing,4
749,leav,4
750,sleep,4
751,quality,5
752,watching,3
753,valu,5
754,disast,5
755,stay,1
756,need,5
757,great,5
758,try,4
759,look,3
760,stay,5
761,hotel,4
762,account,5
763,visit,5
764,return,4
765,stay,5
766,disappointment,1
767,visit,2
768,stay,5
769,completed,4
770,wrong,4
771,stay,3
772,hotel,5
773,choic,5
774,pro,5
775,stay,5
776,wat,2
777,pric,5
778,booked,2
779,orle,5
780,quart,4
781,includ,4
782,happened,1
783,tim,5
784,ret,4
785,staying,4
786,long,1
787,atmosph,2
788,asleep,4
789,stay,4
790,perfect,5
791,level,5
792,advertised,1
793,easy,5
794,doll,5
795,experienc,4
796,georg,5
797,away,5
798,beat,5
799,stay,5
800,orle,5
801,coffe,5
802,list,5
803,orle,5
804,night,4
805,stay,5
806,stay,5
807,darm,5
808,orle,4
809,recommend,2
810,orle,5
811,replaced,5
812,accomodatiom,4
813,quart,1
814,stay,4
815,tim,3
816,wayn,5
817,gra,5
818,staff,4
819,hospitality,5
820,airport,4
821,stay,2
822,clean,4
823,getaway,4
824,right,2
825,treated,1
826,galato,3
827,stay,5
828,lumpy,3
829,cold,3
830,stay,2
831,kans,5
832,orle,1
833,town,4
834,experienc,4
835,frenchman,5
836,are,2
837,need,4
838,unprofess,1
839,room,2
840,stay,1
841,room,4
842,trip,5
843,bedroom,4
844,thank,5
845,location,5
846,gk,3
847,leaving,1
848,watson,4
849,off,2
850,disgusting,1
851,appe,4
852,touch,5
853,hotel,4
854,stay,4
855,deal,3
856,hollow,3
857,enjoy,5
858,trip,2
859,great,5
860,stay,5
861,stay,4
862,location,5
863,francisc,5
864,budget,4
865,including,5
866,street,3
867,beat,4
868,sf,5
869,francisc,4
870,bad,3
871,francisc,5
872,stay,4
873,profess,4
874,div,5
875,directly,4
876,best,3
877,return,4
878,loved,5
879,brilliantw,5
880,ye,4
881,trip,3
882,heartbeat,5
883,return,4
884,fabul,4
885,city,3
886,sf,3
887,soon,5
888,bett,5
889,offic,4
890,return,2
891,stay,5
892,off,2
893,parking,1
894,recommend,4
895,travel,4
896,fee,4
897,morning,4
898,instead,4
899,rex,4
900,visit,3
901,rex,5
902,friend,5
903,local,4
904,recommended,5
905,stay,5
906,ameniti,3
907,best,5
908,stay,5
909,rex,5
910,rexmopolitan,5
911,away,4
912,disappointing,4
913,rex,5
914,return,4
915,hotel,5
916,com,5
917,way,5
918,convenient,5
919,francisc,5
920,francisc,5
921,best,3
922,rex,4
923,staying,4
924,definitely,5
925,pric,4
926,conversatiom,5
927,good,2
928,crowd,5
929,ms,5
930,fun,5
931,br,5
932,hotel,5
933,pric,4
934,stay,4
935,tolerabl,1
936,stay,5
937,city,5
938,fre,4
939,working,5
940,wint,4
941,booking,5
942,recommended,4
943,francisc,5
944,nt,5
945,do,5
946,cowork,5
947,enjoy,3
948,information,3
949,tim,3
950,coming,5
951,location,5
952,spot,4
953,recommend,4
954,recomended,4
955,yik,3
956,guest,4
957,futur,5
958,soundproofing,2
959,awesom,5
960,francisc,5
961,staying,5
962,city,4
963,return,4
964,family,5
965,probl,4
966,stay,5
967,ros,5
968,francisc,4
969,bart,5
970,francisc,5
971,complimentary,4
972,treasur,5
973,stay,5
974,management,1
975,bett,3
976,hill,2
977,sur,2
978,clift,4
979,staying,4
980,shangl,5
981,advis,1
982,tim,5
983,staff,1
984,hotel,1
985,job,1
986,excellent,5
987,dirt,2
988,neighb,1
989,stay,4
990,person,5
991,charg,1
992,st,3
993,small,5
994,clift,5
995,providing,3
996,wellthank,4
997,group,4
998,entranc,3
999,block,3
1000,stay,2
1001,gregory,4
1002,money,4
1003,sf,5
1004,driving,3
1005,dancing,4
1006,hotel,5
1007,clift,5
1008,uncomfortabl,3
1009,cha,5
1010,say,2
1011,bartend,1
1012,seasom,1
1013,sorry,5
1014,great,2
1015,whatsoev,5
1016,food,5
1017,luggag,3
1018,transportation,3
1019,dump,1
1020,stay,5
1021,car,3
1022,averag,3
1023,company,2
1024,night,5
1025,numb,4
1026,sf,4
1027,hotel,4
1028,hojnack,4
1029,hans,5
1030,returning,5
1031,probl,1
1032,help,5
1033,stay,5
1034,sf,4
1035,heartbeat,5
1036,cab,4
1037,return,5
1038,return,4
1039,plu,5
1040,bargain,4
1041,francisc,4
1042,hotel,2
1043,soon,5
1044,definitely,4
1045,noisy,5
1046,spous,5
1047,futur,5
1048,inn,5
1049,stay,5
1050,hotel,4
1051,plac,1
1052,visit,3
1053,return,5
1054,francisc,5
1055,choic,5
1056,inn,5
1057,cooing,5
1058,stay,5
1059,plac,5
1060,definitely,5
1061,stay,5
1062,someday,5
1063,chain,5
1064,tim,4
1065,stay,2
1066,family,5
1067,swan,5
1068,bett,5
1069,fin,5
1070,day,2
1071,tim,5
1072,expectatiom,5
1073,helpful,2
1074,inm,3
1075,visit,5
1076,alexil,5
1077,hotel,5
1078,try,5
1079,staff,3
1080,lead,3
1081,meal,3
1082,stayed,2
1083,night,3
1084,hotel,4
1085,staying,5
1086,alexil,5
1087,slept,4
1088,centr,5
1089,coupl,4
1090,citizenm,5
1091,soon,5
1092,convert,5
1093,highly,5
1094,hotel,5
1095,thank,4
1096,room,4
1097,dull,5
1098,winn,5
1099,try,2
1100,paid,2
1101,roughing,1
1102,spec,5
1103,recommend,5
1104,thank,5
1105,look,5
1106,underwhelming,2
1107,loved,3
1108,way,4
1109,pric,4
1110,nyc,5
1111,stay,5
1112,stay,5
1113,bit,3
1114,visit,5
1115,hotel,5
1116,manhattan,4
1117,busines,1
1118,nois,4
1119,complain,5
1120,return,5
1121,stay,4
1122,day,5
1123,stay,5
1124,handy,2
1125,hotel,5
1126,coffe,4
1127,travel,5
1128,staying,4
1129,appl,5
1130,advantag,3
1131,spik,5
1132,stay,4
1133,disappointed,5
1134,certainly,5
1135,king,5
1136,winebreakfast,5
1137,recommended,5
1138,return,5
1139,visit,5
1140,casablanc,5
1141,nt,5
1142,return,5
1143,hom,5
1144,hesitation,5
1145,experiencesloved,5
1146,tim,5
1147,tx,5
1148,walesaustral,5
1149,squ,5
1150,clas,5
1151,welcom,5
1152,stay,5
1153,hotel,5
1154,clean,4
1155,hotel,5
1156,york,5
1157,wait,4
1158,loved,5
1159,ny,5
1160,bev,5
1161,highly,5
1162,complaining,5
1163,york,4
1164,stay,5
1165,casablanc,5
1166,nt,5
1167,dub,2
1168,calm,4
1169,hotel,5
1170,squ,5
1171,hotelkr,5
1172,dissapointed,5
1173,return,5
1174,portion,4
1175,hotel,5
1176,casablanc,5
1177,villag,5
1178,location,4
1179,casablanc,5
1180,cassablanc,5
1181,stay,5
1182,stay,5
1183,nyc,5
1184,casablanc,5
1185,hotel,5
1186,complaint,5
1187,heartbeat,5
1188,disappointed,5
1189,are,4
1190,return,5
1191,prosec,5
1192,hesitat,5
1193,choic,5
1194,uk,5
1195,book,5
1196,completelorrain,5
1197,soon,5
1198,hotel,5
1199,serv,5
1200,instead,5
1201,midtown,5
1202,nyc,5
1203,thank,5
1204,hotel,4
1205,casablanc,5
1206,st,5
1207,standard,4
1208,recommend,5
1209,valu,5
1210,word,5
1211,bestowed,5
1212,recommend,4
1213,kor,5
1214,casablanc,5
1215,nyc,5
1216,usual,5
1217,rat,3
1218,york,5
1219,hotel,2
1220,mis,5
1221,weath,5
1222,staff,4
1223,hotel,4
1224,memori,5
1225,york,5
1226,recommended,5
1227,what,5
1228,probl,5
1229,york,5
1230,action,5
1231,doubt,5
1232,return,5
1233,are,5
1234,money,5
1235,york,5
1236,hom,5
1237,york,5
1238,sir,4
1239,stay,5
1240,need,5
1241,guest,5
1242,rememb,5
1243,snafu,4
1244,win,5
1245,friend,5
1246,ok,3
1247,kabuk,5
1248,hotel,5
1249,polit,2
1250,spec,3
1251,helpful,5
1252,seriously,1
1253,building,1
1254,absolutely,2
1255,budget,4
1256,recommend,1
1257,succes,3
1258,deal,3
1259,inn,2
1260,wharf,1
1261,stay,4
1262,friendly,4
1263,substanc,2
1264,hyatt,3
1265,do,3
1266,return,5
1267,sit,5
1268,hotel,5
1269,giallombard,5
1270,city,4
1271,heartbeat,5
1272,stay,5
1273,stay,5
1274,francisc,5
1275,wif,4
1276,trip,3
1277,styl,3
1278,com,5
1279,disappointed,5
1280,going,2
1281,visit,5
1282,tim,4
1283,staying,5
1284,experienc,3
1285,experienc,5
1286,waikik,3
1287,expensiv,5
1288,fantastic,5
1289,resort,5
1290,are,4
1291,discussion,5
1292,honolulu,5
1293,recommended,5
1294,aloh,5
1295,dated,4
1296,completely,4
1297,earplug,1
1298,park,2
1299,attentiv,4
1300,great,5
1301,fix,2
1302,worth,5
1303,hilton,5
1304,money,1
1305,ord,2
1306,enjoyabl,3
1307,col,1
1308,premis,5
1309,hotel,4
1310,wait,5
1311,groceri,5
1312,day,5
1313,satisfied,3
1314,charm,4
1315,hawaiian,4
1316,waikik,2
1317,family,5
1318,hawai,5
1319,boom,5
1320,busy,4
1321,happ,3
1322,renew,1
1323,loved,4
1324,helpful,2
1325,deprivation,1
1326,location,5
1327,considering,5
1328,opinion,5
1329,disappointed,5
1330,room,3
1331,local,1
1332,experienc,4
1333,beach,4
1334,differenc,5
1335,hawai,5
1336,money,5
1337,parc,5
1338,ambulanc,4
1339,parcalohakaren,5
1340,stay,5
1341,important,5
1342,street,4
1343,aloh,5
1344,lov,5
1345,honoluluajp,4
1346,beach,2
1347,beachcomb,4
1348,deal,4
1349,smok,3
1350,hotel,4
1351,stay,3
1352,beachcomb,4
1353,tim,3
1354,lam,2
1355,aloh,3
1356,pric,1
1357,mahal,4
1358,meliss,5
1359,stay,5
1360,painting,4
1361,hawai,5
1362,pric,4
1363,trip,2
1364,good,2
1365,boston,5
1366,pleasant,5
1367,morning,5
1368,collect,5
1369,hotel,5
1370,heaven,5
1371,book,5
1372,dinn,4
1373,liv,5
1374,away,4
1375,recommend,4
1376,hesitation,4
1377,shop,3
1378,recommended,5
1379,ye,4
1380,futur,4
1381,boston,5
1382,wish,5
1383,stay,4
1384,lenox,5
1385,tim,4
1386,stay,5
1387,lenox,5
1388,unpleasant,2
1389,city,5
1390,recommended,5
1391,st,4
1392,hotel,5
1393,recommended,5
1394,vacation,5
1395,onlin,1
1396,week,1
1397,paid,2
1398,friendly,4
1399,bay,4
1400,enjoyabl,5
1401,quiet,4
1402,blaz,4
1403,ameniti,2
1404,lov,4
1405,hotel,4
1406,spac,1
1407,nt,4
1408,easily,5
1409,rating,3
1410,touch,4
1411,nic,4
1412,glitch,3
1413,clas,5
1414,pric,2
1415,troubl,5
1416,trained,5
1417,hotel,4
1418,experienc,3
1419,hotel,4
1420,boston,3
1421,perfect,4
1422,availabl,1
1423,stay,5
1424,certainly,4
1425,boston,3
1426,got,5
1427,charg,3
1428,return,4
1429,definitely,2
1430,ouch,2
1431,attentiv,5
1432,helpful,3
1433,metal,4
1434,location,4
1435,beantown,4
1436,boston,4
1437,he,3
1438,location,3
1439,arriv,4
1440,doorstep,5
1441,com,5
1442,hotel,3
1443,way,3
1444,stay,4
1445,are,5
1446,hotel,4
1447,hotel,3
1448,highly,5
1449,view,4
1450,prim,2
1451,city,5
1452,liv,5
1453,dall,5
1454,hom,5
1455,wait,4
1456,cent,3
1457,fantastic,4
1458,probl,1
1459,room,2
1460,stay,4
1461,restaurant,3
1462,hard,2
1463,stay,1
1464,orle,4
1465,plac,1
1466,disast,1
1467,hotel,5
1468,tre,1
1469,outsid,2
1470,charl,3
1471,experienced,1
1472,rac,5
1473,hotel,1
1474,hom,1
1475,liked,5
1476,hampton,4
1477,fin,4
1478,coming,4
1479,help,3
1480,orle,5
1481,option,5
1482,stay,4
1483,plac,1
1484,plac,5
1485,hassl,5
1486,stay,5
1487,priced,4
1488,serv,1
1489,phoenix,1
1490,pric,1
1491,reading,4
1492,horribl,1
1493,scottsdal,1
1494,happy,5
1495,pric,3
1496,children,3
1497,hotel,2
1498,room,4
1499,st,1
1500,stay,4
1501,bored,5
1502,reservatiom,5
1503,bilkmor,2
1504,fre,1
1505,paying,4
1506,establishment,2
1507,wasted,1
1508,deal,2
1509,eat,4
1510,easily,4
1511,setting,4
1512,plac,1
1513,history,4
1514,parti,3
1515,grav,2
1516,east,5
1517,down,2
1518,exercis,5
1519,hopkim,5
1520,hom,5
1521,stay,5
1522,kid,2
1523,ranking,3
1524,tax,5
1525,playground,4
1526,serv,2
1527,cost,3
1528,building,3
1529,location,4
1530,stay,3
1531,stay,5
1532,history,4
1533,staff,4
1534,je,5
1535,downtown,5
1536,favorit,5
1537,hotel,4
1538,nic,4
1539,worth,5
1540,bar,4
1541,apartment,5
1542,spec,5
1543,country,5
1544,pleasant,4
1545,recommend,5
1546,stay,4
1547,lot,5
1548,chancell,5
1549,francisc,5
1550,welcom,5
1551,thank,5
1552,visit,4
1553,stay,5
1554,plac,4
1555,car,4
1556,amis,4
1557,staff,5
1558,expensiv,4
1559,night,5
1560,perfect,5
1561,staff,4
1562,stay,5
1563,outsid,4
1564,we,5
1565,concern,4
1566,definitly,5
1567,that,4
1568,colleag,5
1569,francisc,4
1570,wait,4
1571,trip,5
1572,valu,5
1573,tripadvi,5
1574,city,5
1575,wow,5
1576,stay,3
1577,chancell,5
1578,stay,5
1579,recommend,5
1580,francisc,5
1581,tyl,5
1582,incredibl,5
1583,appreciated,4
1584,creyton,5
1585,francisc,5
1586,ye,5
1587,enjoyabl,5
1588,francisc,5
1589,stay,4
1590,stay,4
1591,stay,5
1592,cityenjoy,5
1593,hotel,4
1594,francisc,5
1595,both,4
1596,hotel,5
1597,staff,5
1598,kruse,5
1599,p,5
1600,chancell,5
1601,manag,5
1602,stay,4
1603,hoped,3
1604,return,4
1605,desk,2
1606,availabl,2
1607,plac,1
1608,stat,5
1609,fantastic,5
1610,use,4
1611,stay,5
1612,choic,5
1613,do,5
1614,hotel,5
1615,job,5
1616,recommended,4
1617,chancell,4
1618,complain,5
1619,work,5
1620,encountered,5
1621,ye,5
1622,wat,5
1623,stay,2
1624,cochran,5
1625,futur,5
1626,nothing,5
1627,hotel,5
1628,bord,5
1629,chancell,5
1630,stayed,4
1631,francisc,4
1632,parking,4
1633,francisc,5
1634,reccomend,5
1635,francisc,5
1636,averag,4
1637,ca,5
1638,wow,5
1639,carpet,2
1640,pric,5
1641,worth,5
1642,sleep,4
1643,hotel,5
1644,hotel,1
1645,staff,3
1646,hotel,4
1647,chancell,4
1648,pric,4
1649,result,4
1650,nyc,4
1651,francisc,4
1652,recommend,5
1653,stay,4
1654,tim,3
1655,journey,5
1656,pas,4
1657,stay,4
1658,hotel,4
1659,hotel,5
1660,chancell,5
1661,fault,4
1662,await,5
1663,valu,5
1664,stay,5
1665,machin,3
1666,bu,4
1667,visit,5
1668,odd,4
1669,traffic,4
1670,pric,5
1671,up,5
1672,stay,5
1673,clos,4
1674,seattl,5
1675,hotel,5
1676,stay,4
1677,expect,3
1678,early,5
1679,family,4
1680,stay,5
1681,acceptabl,3
1682,hotel,1
1683,stay,5
1684,complaint,4
1685,actually,4
1686,seattl,5
1687,list,5
1688,dec,2
1689,blast,5
1690,seattl,5
1691,good,3
1692,downtown,4
1693,pool,5
1694,definitely,5
1695,cam,4
1696,convenient,4
1697,hotel,4
1698,are,5
1699,avalon,5
1700,downtown,2
1701,angry,2
1702,plac,2
1703,breakfast,4
1704,action,1
1705,sleep,3
1706,enjoy,5
1707,marriott,5
1708,fl,5
1709,stayed,5
1710,beijing,5
1711,serv,5
1712,night,3
1713,excellent,4
1714,budget,3
1715,stay,4
1716,ye,5
1717,receiv,1
1718,rat,3
1719,tag,2
1720,sourc,4
1721,satisfaction,1
1722,phoenix,5
1723,off,3
1724,night,4
1725,friend,4
1726,hotel,4
1727,stay,4
1728,food,4
1729,day,5
1730,overpriced,2
1731,are,2
1732,wench,5
1733,pric,4
1734,stay,5
1735,stay,5
1736,are,5
1737,location,2
1738,dieg,4
1739,hotel,4
1740,premis,2
1741,convenient,4
1742,budget,5
1743,walk,3
1744,nic,3
1745,street,4
1746,try,3
1747,plu,3
1748,updating,1
1749,recommended,4
1750,money,4
1751,raiting,5
1752,inn,5
1753,advanc,5
1754,bathroom,5
1755,stay,4
1756,street,3
1757,comfortabl,3
1758,outdo,4
1759,tax,4
1760,mil,3
1761,nearby,4
1762,denmark,4
1763,recommend,4
1764,francisc,4
1765,valu,4
1766,night,5
1767,adult,4
1768,digest,3
1769,tim,5
1770,cost,4
1771,great,4
1772,inn,4
1773,coming,4
1774,traffic,2
1775,stay,5
1776,sf,4
1777,chesnut,5
1778,location,4
1779,city,3
1780,glamor,2
1781,day,3
1782,best,2
1783,town,1
1784,budget,3
1785,stay,5
1786,hotel,2
1787,stay,1
1788,warned,1
1789,peopl,3
1790,tim,5
1791,columb,1
1792,stay,4
1793,coffe,3
1794,local,4
1795,hotel,3
1796,tim,5
1797,hotel,1
1798,hotel,5
1799,staff,3
1800,stay,4
1801,wrot,4
1802,stay,5
1803,sf,4
1804,easily,5
1805,differently,5
1806,stay,4
1807,sleep,2
1808,stay,4
